"指标 ID","指标名称","属性","2026WK01","2026WK02","2026WK03","2026WK04","2026WK05","2026WK06","2026WK07","2026WK08","2026WK09","2026WK10","2026WK11","2026WK12","2026WK13","2026WK14","2026WK15","2026WK16","2026WK17","2026WK18"
"fangwenliuliang","访问流量","AC","50000","52000","55000","53000","58000","60000","62000","61000","65000","67000","68000","70000","","","","","","",""
"fangwenliuliang","访问流量","FC","","","","","","","","","","","","","72000","75000","78000","80000","82000","85000","88000"
"fangwenliuliang","访问流量","BU","55000","58000","60000","58000","62000","65000","68000","66000","70000","72000","75000","78000","80000","83000","86000","88000","90000","93000","95000"
"xiansuoshu","线索数","AC","8500","9100","9900","9540","10440","11400","11780","11590","12350","13400","13600","14000","","","","","","",""
"xiansuoshu","线索数","FC","","","","","","","","","","","","","14400","15000","15600","16000","16400","17000","17500"
"xiansuoshu","线索数","BU","9350","10440","11400","10440","11780","12350","12920","11970","13300","14040","14250","14820","15200","15960","16520","17160","17760","18420","19000"
"shangjishu","商机数","AC","2550","2730","2970","2862","3132","3420","3534","3477","3705","4020","4080","4200","","","","","","",""
"shangjishu","商机数","FC","","","","","","","","","","","","","4320","4500","4680","4800","4920","5100","5250"
"shangjishu","商机数","BU","2805","3132","3420","3132","3534","3705","3876","3591","3990","4212","4275","4446","4560","4788","4956","5148","5328","5526","5700"
"chengjiaojine","成交额","AC","1275000","1365000","1485000","1431000","1566000","1710000","1767000","1738500","1852500","2010000","2040000","2100000","","","","","","",""
"chengjiaojine","成交额","FC","","","","","","","","","","","","","2160000","2250000","2340000","2400000","2460000","2550000","2625000"
"chengjiaojine","成交额","BU","1402500","1566000","1710000","1566000","1767000","1852500","1938000","1795500","1995000","2106000","2137500","2223000","2280000","2394000","2478000","2574000","2664000","2763000","2850000"
